id	state	date	amount	currency_name	currency_code	from	to	description
650703	EXECUTED	2023-09-05T11:30:32Z	16210	Sol	PEN	РЎС‡РµС‚ 58803664561298323391	РЎС‡РµС‚ 39745660563456619397	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
3598919	EXECUTED	2020-12-06T23:00:58Z	29740	Peso	COP	Discover 3172601889670065	Discover 0720428384694643	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
593027	CANCELED	2023-07-22T05:02:01Z	30368	Shilling	TZS	Visa 1959232722494097	Visa 6804119550473710	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
366176	EXECUTED	2020-08-02T09:35:18Z	29482	Rupiah	IDR	Discover 0325955596714937	Visa 3820488829287420	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
5380041	CANCELED	2021-02-01T11:54:58Z	23789	Peso	UYU		РЎС‡РµС‚ 23294994494356835683	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
1962667	EXECUTED	2023-10-22T09:43:32Z	18588	Peso	COP	Mastercard 7286844946221431	РЎС‡РµС‚ 76145988629288763144	РџРµСЂРµРІРѕРґ РѕСЂРіР°РЅРёР·Р°С†РёРё
5294458	EXECUTED	2022-06-20T18:08:20Z	16836	Yuan Renminbi	CNY	Visa 2759011965877198	РЎС‡РµС‚ 38287443300766991082	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
5429839	EXECUTED	2023-06-23T19:46:34Z	25261	Hryvnia	UAH		РЎС‡РµС‚ 76768135089446747029	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
3226899	EXECUTED	2023-04-17T09:21:15Z	21680	Koruna	CZK		РЎС‡РµС‚ 88329674734590848775	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
3176764	CANCELED	2022-08-24T14:32:38Z	16652	Euro	EUR	Mastercard 8387037425051294	American Express 5556525473658852	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
4234093	EXECUTED	2021-07-08T07:31:21Z	23182	Ruble	RUB	Visa 0773092093872450	Discover 8602781449570491	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
3107343	EXECUTED	2023-01-25T13:33:00Z	33639	Krona	SEK		РЎС‡РµС‚ 35662766798195077538	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
2130098	PENDING	2020-06-07T11:11:36Z	30731	Euro	EUR	Visa 5749750597771353	American Express 9106381490184499	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
4653427	PENDING	2020-10-04T12:12:23Z	34072	Yuan Renminbi	CNY	Discover 9058011549803523	Mastercard 5266726031439012	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
4641894	EXECUTED	2021-08-30T12:27:22Z	11111	Krona	SEK		РЎС‡РµС‚ 53688013223998817599	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
4813301	EXECUTED	2021-11-02T13:32:15Z	15080	Euro	EUR	РЎС‡РµС‚ 65547878890984510340	РЎС‡РµС‚ 91457207307678002163	РџРµСЂРµРІРѕРґ СЃРѕ СЃС‡РµС‚Р° РЅР° СЃС‡РµС‚
1449073	CANCELED	2021-05-11T10:06:51Z	11834	Rupiah	IDR	РЎС‡РµС‚ 17847122626293622323	РЎС‡РµС‚ 68570011224094542755	РџРµСЂРµРІРѕРґ СЃРѕ СЃС‡РµС‚Р° РЅР° СЃС‡РµС‚
2029174	EXECUTED	2022-08-09T17:12:27Z	34143	Yuan Renminbi	CNY	Visa 2717112074981212	Discover 8397322380849617	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
293898	EXECUTED	2023-05-14T18:57:16Z	14031	Peso	PHP	Visa 5962584244183755	Mastercard 8961651103972237	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
1849472	EXECUTED	2021-09-24T14:59:04Z	21741	Yen	JPY	Visa 6665114452549732	American Express 7292521342622607	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
2264916	EXECUTED	2020-12-04T22:59:07Z	25833	Yuan Renminbi	CNY	Discover 2227841726977189	Mastercard 3354646664448456	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
5371445	PENDING	2023-10-19T03:51:33Z	19556	Yuan Renminbi	CNY	Discover 2269057629158313	Discover 1467530652300402	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
5317785	EXECUTED	2020-02-17T01:03:47Z	29816	Zloty	PLN		РЎС‡РµС‚ 78438276133237705218	РћС‚РєСЂС‹С‚РёРµ РІРєР»Р°РґР°
3373740	EXECUTED	2020-02-22T02:10:18Z	12439	Peso	MXN	Discover 3471032641828884	Mastercard 3506550658550576	РџРµСЂРµРІРѕРґ СЃ РєР°СЂС‚С‹ РЅР° РєР°СЂС‚Сѓ
